token,total_internal
0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,2441922171948888803668
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30003273813864639623
0x576e2bed8f7b46d34016198911cdf9886f78bea7,188032683651881
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,245415055197
0x50b806c5fe274c07e46b96be8c68d2fd2d9597b4,323914401867397118655025158
0x77700005bea4de0a78b956517f099260c2ca9a26,9789090561806010412
0x6b175474e89094c44da98b954eedeac495271d0f,104499539534526274641
0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,291848562820
0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,9238364833184139286
0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,9001888
0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,11848442131
0xdac17f958d2ee523a2206206994597c13d831ec7,1183659876
