account,token,season,_col3
0x11d67fa925877813b744abc0917900c2b1d6eb81,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,6167,492915000252
0xdff24806405f62637e0b44cc2903f1dfc7c111cd,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6238,69483606
0x4ec2dcdfb3c165da62dd1367cb42fe7551524984,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,6103,10000000000000000000
0xe9691477a468cc9084b690920b845c20dc54ae04,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6133,1363277033
0x1dd6ac8e77d4c4a959bed5d2ae624d274c46e8bd,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6600,250149938
0x4ec2dcdfb3c165da62dd1367cb42fe7551524984,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,6112,9856757542171014674957
0x7482fe6a86c52d6eeb42e92a8f661f5b027d4397,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,6086,106405367
0xd2d533b30af2c22c5af822035046d951b2d0bd57,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6091,74746432
0xe1d86a7088d05398a2b9ba566be0b3c5ffa5d9af,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6848,498994754
0x542a94e6f4d9d15aae550f7097d089f273e38f85,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7419,28532581
0xc725c98a214a3b79c0454ef2151c73b248ce329c,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6101,662171229
0xc315231efc43290770d310230faef444014b1d8d,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8566,3650571897
0xd130ab894366e4376b1afe3d52638a1087be17f4,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7127,2000000
0x9c3da668a27f58a60d937447e0a539b48321f04d,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6112,31378279
0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6087,146873559
0xdff24806405f62637e0b44cc2903f1dfc7c111cd,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6243,89098248
0x5f683bd8e397e11858dab751eca248e5b2afc522,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7358,54879308
0xf5ca1b4f227257b5367515498b38908d593e1ebe,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6098,203343616
0x09bc3c127ed4c491880c2a250d6d034696cb5fc1,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,7835,144000000
0x49ce991352a44f7b50af79b89a50db6289013633,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,6585,7026209191
0xcc1a8576f7e75398a390a147da1fbe683c2a9587,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6375,172797456
0x7de837caff6a19898e507f644939939cb9341209,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6093,108154593
0xc725c98a214a3b79c0454ef2151c73b248ce329c,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6107,182844457
0x569fa8c1e62feab5b93a6252ddb8c0fd29423c50,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6106,249449214
0x8a8073ce976490d9e13953b3d85a65476f27712f,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7777,1000000000
0x05cd14412ccd74f05379199181aa1847ed4802fd,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8327,38116489
0x3df37474ffb9969857cefe902b35658ba925d00f,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,6896,43343943302178465210
0x11d67fa925877813b744abc0917900c2b1d6eb81,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,6217,87110560719
0x542a94e6f4d9d15aae550f7097d089f273e38f85,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,7751,510138988
0x706cf4cc963e13ff6add75d3475da00a27c8a565,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8268,183024972
0x843f2c19bc6df9e32b482e2f9ad6c078001088b1,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6461,149094920
0x49ce991352a44f7b50af79b89a50db6289013633,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6586,354459382
0xce66c6a88bd7bec215aa04fda4cf7c81055521d0,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6106,1912715174
0xcfff6932d4ada56f6f1aedaa61f6947cec95d90a,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6100,54738972
0xc0ec0e2a7f526b2ebf5a7e199ff776a019f012c8,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6116,55623726
0x14f78bdcccd12c4f963bd0457212b3517f974b2b,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6101,629236150
0xf6aaada76ea7f044ffa028565b028740dce5389f,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8324,129422521
0x9260ae742f44b7a2e9472f5c299aa0432b3502fa,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,6100,223773445276300554417
0x8a8073ce976490d9e13953b3d85a65476f27712f,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7778,500000000
0x9664ca3827d81694aaf1b4c93891de770a9340cf,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8138,1691515251
0x63b98c09120e4ef75b4c122d79b39875f28a6fcc,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7015,100000000
0x78320e6082f9e831dd3057272f553e143dfe5b9c,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,7680,301224156
0xbdaaa4d3ab02badbd2c1b5adaf673184b62fe7ee,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7585,108845000
0xd03c52b3256b5e102ce4bf6bb53d4be9d9963838,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8332,7766260000
0x7de837caff6a19898e507f644939939cb9341209,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6097,134960730
0xa82240bb0291a8ef6e46a4f6b8abf4737b0b5257,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8456,3119225040
0xd2d533b30af2c22c5af822035046d951b2d0bd57,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6089,133913498
0x9664ca3827d81694aaf1b4c93891de770a9340cf,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6178,545676600
0x1fc84da8c1dfd00a7f6d0970ed779cec0bbf9ca4,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6090,47598845
0xd130ab894366e4376b1afe3d52638a1087be17f4,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,7191,1000000000000000000
0xd3f0862e4acef9a0c2d7fc4eac9ab02c80d7b16c,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7022,232812273
0xf5ca1b4f227257b5367515498b38908d593e1ebe,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6097,198841443
0x394c357db3177e33bde63f259f0eb2c04a46827c,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6099,242737313
0xff4a6b6f1016695551355737d4f1236141ec018d,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6122,190613304
0x0000002e4f99cb1e699042699b91623b1334d2f7,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7974,22436018
0xfc748762f301229bcea219b584fdf8423d8060a1,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6107,229252040
0x83b33ba5b1446955bee0b3110c163150f555e40e,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6150,42020858
0xef49ffe2c1a6f64cfe18a26b3efe7d87830838c8,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8138,2442504363
0x77e3cf7d9051f7e76889ec11d9ab758f9dedc5c4,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,7621,10040990051
0xf6aaada76ea7f044ffa028565b028740dce5389f,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,8324,35968486651
0xa82240bb0291a8ef6e46a4f6b8abf4737b0b5257,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6098,2043375645
0x558c4aff233f17ac0d25335410faea0453328da8,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,6835,795873721
0x11d67fa925877813b744abc0917900c2b1d6eb81,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8498,11983122
0xd130ab894366e4376b1afe3d52638a1087be17f4,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7145,1000000
0x4135deb17102aeeda09f5748186a1aa5060b3bbb,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8567,2278535405
0x2f0fdfc5c1f15a56017f3ed69a47abdcc0bb2ae7,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7432,6530036
0xfc748762f301229bcea219b584fdf8423d8060a1,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6101,66481054
0xbb02c110452ae7ab8eb369b77ad65bb6c18b4361,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8536,199945510
0xc1e607b7730c43c8d15562ffa1ad27b4463dc4c4,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6099,593584013
0x90fe1ad4f312dcce621389fc73a06dccfd923211,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,6115,815698295783993606560
0x027be82bf7895db5fc1fea5696117e875bbcc0de,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7317,43385551
0xce66c6a88bd7bec215aa04fda4cf7c81055521d0,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6108,49905000
0xad503b72fc36a699bf849bb2ed4c3db1967a73da,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6086,101214311
0x5853ed4f26a3fcea565b3fbc698bb19cdf6deb85,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,6162,210000
0xc0eb311c2f846bd359ed8eaa9a766d5e4736846a,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6149,78433865
0x49ce991352a44f7b50af79b89a50db6289013633,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,6586,27537689446
0x7aaee144a14ec3ba0e468c9dcf4a89fdb62c5aa6,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,7486,2199303350630125241262
0x15ad9ef623b0d635f2eebf20e0548121cbafc719,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,7390,37069269128
0xd00fb8effee21177df7871f285b379bb03d8a8b5,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,8381,325050301
